2Trim,2DANN-trnacc,2DANN-valacc,2DANN-domacc,2DANN-domacc-BEST,2Normal-trnacc,2Normal-valacc,3DANN-trnacc,3DANN-valacc,3Normal-trnacc,3Normal-val,changes,
True,0.27348,0.28220,0.73353,0.70702,0.26997,0.26818,0.76042,0.74058,0.77728,0.77480,-,
True,0.27568,0.28214,0.70743,0.69752,,,0.98611,0.86112,0.98810,0.85665,,
